ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
149.91674508,2.65600717,1.115,-22.94,30.13,29,146.0,894005.0,56.0
150.19592374,1.76691735,1.1159,-22.85,29.87,22,115.0,317355.0,341.0
150.39286055,1.80884418,1.1161,-23.09,30.31,9,62.0,343525.0,779.0
149.46216404,2.2657331,1.1166,-22.53,30.04,30,111.0,637193.0,122.0
150.33357401,1.66305943,1.1175,-22.2,29.53,15,54.0,250538.0,680.0
150.2768228,2.27564387,1.1279,-22.68,29.7,24,130.0,643589.0,202.0
150.25260811,2.77214552,1.1284,-22.06,29.43,24,102.0,967197.0,203.0
150.66928892,1.984917,1.1305,-22.73,30.29,11,90.0,452956.0,439.0
150.65057468,2.12687371,1.1315,-22.25,29.6,13,102.0,545014.0,698.0
149.88833898,1.80948904,1.1349,-23.07,29.76,13,61.0,343485.0,788.0
150.14758446,2.13101214,1.1376,-23.45,29.99,25,138.0,548814.0,145.0
149.49877909,1.6748675,1.1379,-22.51,29.72,11,64.0,258669.0,709.0
149.92545858,2.40789789,1.1404,-22.43,29.98,14,96.0,731821.0,502.0
149.60773037,2.74183957,1.142,-21.84,30.02,13,105.0,948145.0,509.0
150.56589042,2.49644973,1.1427,-23.89,30.17,33,167.0,790959.0,83.0
150.11589908,1.67676138,1.1431,-23.1,30.47,25,102.0,259709.0,9.0
150.4717675,2.15791156,1.1432,-24.3,30.32,29,117.0,564354.0,306.0
149.99291085,2.6398161,1.1452,-23.08,29.92,21,129.0,884165.0,176.0
149.56537111,2.44230208,1.1458,-22.86,30.26,28,128.0,753898.0,226.0
150.51761504,2.56556127,1.1465,-24.36,30.77,27,167.0,836995.0,115.0
150.69660138,2.13024623,1.147,-23.18,30.39,21,85.0,546451.0,608.0
149.78110374,2.45876068,1.1471,-22.64,30.08,13,56.0,764840.0,767.0
149.49990706,2.4063474,1.1479,-22.68,30.13,12,108.0,731181.0,508.0
150.03908059,2.48835987,1.1481,-23.34,29.95,20,102.0,784739.0,266.0
149.83679258,2.68923847,1.1483,-23.83,30.15,21,99.0,916700.0,331.0
149.62379859,1.66678181,1.1563,-23.25,29.92,15,66.0,254703.0,681.0
149.84903087,2.29927697,1.1578,-23.14,29.88,26,170.0,660085.0,114.0
149.68569228,1.9198628,1.1583,-23.21,30.33,18,118.0,413524.0,298.0
150.35733968,2.0881503,1.1599,-23.89,30.17,27,116.0,519857.0,103.0
150.25043421,2.04966659,1.1602,-23.37,29.96,31,157.0,494056.0,137.0
149.75018392,2.67934767,1.1622,-24.01,30.63,22,93.0,911221.0,391.0
149.70331033,1.80522909,1.1627,-22.7,29.7,11,64.0,340583.0,789.0
149.77845626,2.21531346,1.1654,-23.83,30.15,14,124.0,604873.0,258.0
150.37291764,2.20343068,1.1682,-23.3,29.92,23,97.0,595994.0,387.0
150.32635734,2.78049442,1.1685,-23.15,29.88,13,109.0,972868.0,157.0
150.54525751,2.23634353,1.169,-23.69,30.1,33,110.0,618830.0,75.0
149.86674158,2.6083838,1.1711,-22.81,29.74,23,86.0,863248.0,337.0
149.62701735,2.62127664,1.1715,-22.75,29.71,19,89.0,870775.0,619.0
150.56473387,2.1119601,1.1734,-22.71,29.7,17,109.0,535995.0,216.0
150.48129151,2.38459177,1.175,-23.06,29.85,23,123.0,717193.0,173.0
149.62551002,2.36697447,1.175,-22.69,30.1,16,125.0,706530.0,340.0
150.40395701,2.64282249,1.1757,-23.24,29.89,20,114.0,887355.0,525.0
149.82073595,2.49632018,1.1849,-21.89,29.68,13,90.0,788622.0,727.0
150.19426403,1.78633665,1.1876,-23.21,29.89,22,118.0,328345.0,334.0
150.12317301,1.99741022,1.1903,-24.51,30.42,40,165.0,462521.0,73.0
150.09624905,2.62271693,1.1909,-23.68,30.09,22,81.0,872325.0,473.0
150.72554159,2.76981709,1.1943,-23.11,29.86,27,72.0,966115.0,165.0
150.07759691,1.87511268,1.1957,-22.82,30.34,24,116.0,385110.0,533.0
150.35713523,1.97334695,1.1957,-23.65,30.07,39,206.0,447792.0,34.0
149.63350627,1.95625625,1.1959,-22.6,29.65,21,143.0,435280.0,265.0
149.89265042,2.26904484,1.1962,-23.34,29.96,28,172.0,639828.0,80.0
149.96299509,2.01351006,1.1964,-22.76,29.72,25,84.0,470821.0,342.0
149.53099097,2.09459605,1.1968,-23.67,30.07,30,131.0,523478.0,121.0
150.31459489,2.28891826,1.2,-23.03,29.93,29,128.0,652572.0,1.0
149.621163,2.09199185,1.2029,-24.17,30.27,26,214.0,522790.0,42.0
150.05225715,1.67841372,1.2033,-22.65,29.68,12,75.0,260243.0,483.0
150.47194295,2.7741344,1.206,-23.52,30.02,18,81.0,969091.0,224.0
150.55588268,2.58780859,1.2073,-23.42,29.96,17,122.0,850725.0,434.0
150.15395224,2.27615431,1.2095,-23.42,30.28,14,98.0,644889.0,613.0
150.25424778,2.70917172,1.2096,-23.38,30.38,44,186.0,928992.0,44.0
149.75001255,2.00722503,1.2102,-23.07,30.24,34,152.0,467994.0,0.0
149.69835563,1.94413993,1.2114,-23.55,30.02,21,156.0,429304.0,320.0
149.55626321,2.27039112,1.2125,-22.28,29.83,22,122.0,640459.0,429.0
150.01932897,2.21634114,1.2142,-22.77,30.14,17,111.0,603547.0,561.0
150.26712049,2.46198845,1.2144,-23.34,29.95,25,82.0,767347.0,218.0
150.40754344,1.80672983,1.2162,-23.08,29.85,27,134.0,342039.0,175.0
149.47715982,2.58865573,1.2165,-23.07,30.14,21,75.0,851262.0,20.0
150.06544411,1.74596078,1.2168,-23.57,30.52,26,95.0,304234.0,188.0
