ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
150.10431261,2.53199808,1.5776,-20.77,29.48,14,52,811554.0,185.0
150.12117271,1.75691527,1.6042,-22.25,29.95,16,66,308931.0,133.0
149.85298821,2.66058931,1.6083,-20.64,28.95,8,51,895734.0,59.0
150.1517653,2.20887298,1.6309,-22.27,30.07,14,62,597683.0,8.0
150.21568487,2.17245202,1.644,-22.13,30.1,12,63,573807.0,361.0
149.69547438,2.1082952,1.6487,-21.64,29.26,9,58,531276.0,42.0
149.63963898,1.84549491,1.6896,-22.58,29.65,11,50,364918.0,402.0
149.91196183,2.53903867,1.7068,-23.01,30.09,8,54,816633.0,57.0
150.05947493,1.98982175,1.7323,-22.48,29.71,13,55,455633.0,17.0
149.79635321,1.83803048,1.7346,-21.78,30.19,10,50,360297.0,404.0
149.71607398,1.86485356,1.7508,-20.71,29.24,12,58,376902.0,24.0
150.03629547,2.34528519,1.8083,-22.83,30.76,15,54,689636.0,4.0
150.58436238,2.02845603,1.8282,-22.31,30.02,13,57,479607.0,18.0
150.32475467,2.30417438,1.8332,-23.31,30.41,17,64,662957.0,126.0
150.15599273,2.17063349,1.8342,-22.73,29.72,12,52,572496.0,267.0
150.28429356,2.11686444,1.8847,-23.29,29.94,12,56,536598.0,27.0
150.28725894,2.14811219,1.9014,-22.88,30.72,12,68,556782.0,145.0
149.99861814,2.09367817,1.9062,-22.14,29.8,10,60,521128.0,148.0
150.3251825,2.37755915,1.9145,-21.26,30.05,10,53,710919.0,301.0
150.333756,2.10283508,1.9177,-21.45,29.41,10,51,526534.0,325.0
150.33205918,1.8660422,1.9179,-23.27,30.51,12,50,378886.0,302.0
149.66719775,2.19931927,1.9217,-22.39,30.41,10,56,591090.0,226.0
150.02983928,2.18172231,1.9314,-22.05,29.85,11,55,579370.0,370.0
150.04214366,2.34504711,1.9318,-21.7,29.55,12,58,689746.0,161.0
149.82608191,1.80659955,1.9437,-21.78,29.69,15,63,341181.0,166.0
150.20736467,2.07722918,1.9451,-21.96,29.7,13,50,511450.0,285.0
149.93455789,2.67285487,1.9478,-22.65,29.91,10,50,904552.0,217.0
149.65981422,1.97763545,1.9489,-22.01,29.92,8,51,447953.0,413.0
150.01320045,2.08235963,1.9529,-23.34,30.43,13,52,514554.0,248.0
149.61315568,2.66811172,1.955,-22.57,30.37,10,50,900722.0,26.0
150.27587956,2.08808449,1.9666,-22.8,29.92,12,61,518123.0,142.0
150.01002724,2.26608611,1.9696,-22.45,30.08,13,54,636724.0,143.0
149.64690978,1.93889431,1.9749,-21.83,29.48,11,57,423816.0,25.0
150.37958124,2.17687993,1.9864,-22.44,30.13,10,63,576691.0,214.0
149.83110498,1.82504891,1.9867,-21.66,29.4,10,50,352141.0,208.0
150.67325019,2.3432057,1.9903,-22.9,30.3,11,59,687819.0,311.0
150.12111795,2.23244629,2.0299,-20.66,29.17,10,50,613438.0,37.0
149.7923375,2.13804714,2.0373,-21.68,29.86,9,51,549643.0,499.0
149.61957935,2.69191067,2.0495,-21.07,28.78,9,51,915870.0,52.0
150.18304167,2.0778071,2.0805,-23.26,30.29,11,50,511651.0,486.0
150.3353631,2.35742277,2.1084,-20.75,28.92,13,55,696986.0,359.0
149.85895015,2.70129606,2.1334,-22.05,29.74,9,51,922758.0,360.0
149.74642363,2.0845153,2.192,-24.09,30.61,14,52,516419.0,187.0
149.78395392,1.80922928,2.1956,-22.7,30.07,12,51,342156.0,381.0
149.67956816,1.98840247,2.2556,-22.35,30.28,13,52,454321.0,268.0
150.11934915,2.22415878,2.2649,-23.02,30.29,13,50,608918.0,20.0
150.25472363,2.06227355,2.2704,-21.83,29.64,10,51,501026.0,40.0
150.40861776,2.07224869,2.3018,-22.58,29.71,9,62,507474.0,205.0
149.65263698,1.94964293,2.4748,-22.13,29.69,10,57,430320.0,385.0
149.5577213,1.92364161,2.4749,-23.67,30.26,12,50,415890.0,11.0
