ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
149.85360769,2.5854975,0.9861,-23.57,30.04,55,139,848867.0,42.0
149.48986166,2.02657633,0.9875,-23.8,30.12,51,151,480769.0,33.0
150.11957951,2.11718222,0.9876,-23.51,30.0,51,126,538394.0,57.0
150.74711897,2.43715474,0.988,-23.78,30.12,28,105,752318.0,58.0
150.41198388,1.83116159,0.989,-23.85,30.15,51,120,353441.0,40.0
150.69686396,2.14504507,0.989,-23.86,30.15,28,110,557866.0,278.0
149.53392539,1.64516272,0.9896,-22.77,29.72,14,52,240589.0,916.0
150.32390027,2.28228667,0.9897,-23.8,30.14,37,125,649380.0,101.0
150.46364055,2.44047876,0.9907,-23.84,30.15,30,124,753651.0,207.0
149.59920446,2.4949516,0.9908,-23.01,29.82,31,89,790005.0,275.0
149.79517115,2.61688796,0.9908,-23.53,30.02,25,84,870357.0,385.0
149.64833739,2.34140604,0.9919,-23.9,30.17,55,158,690316.0,38.0
149.50709636,2.21272752,0.9948,-23.3,30.47,39,139,603296.0,82.0
149.74446753,1.87640648,0.9962,-23.36,29.96,21,80,387047.0,875.0
149.66971245,1.89649966,0.9966,-22.77,30.21,32,98,399065.0,380.0
149.56592254,2.07888029,0.9971,-23.52,30.13,33,110,513923.0,168.0
150.60875685,2.46738446,0.9972,-22.53,29.63,23,82,770441.0,199.0
150.23043387,1.74301379,0.9984,-23.34,29.93,62,144,301691.0,45.0
149.62476708,2.21934348,1.0003,-23.38,29.97,63,209,607252.0,37.0
150.03361533,1.73421764,1.0008,-21.95,29.67,35,91,296199.0,591.0
149.7525381,2.21403636,1.0038,-23.59,30.55,41,132,603983.0,90.0
149.87566096,2.13724175,1.0041,-23.62,30.06,30,138,552118.0,88.0
150.01336502,1.94485292,1.0046,-23.74,30.77,15,50,429644.0,867.0
149.93479445,1.92427982,1.005,-22.56,29.66,33,78,415906.0,704.0
149.99393717,1.88181961,1.0052,-23.05,29.94,27,75,389961.0,654.0
149.94595633,1.68047099,1.0065,-22.78,30.09,31,90,261996.0,297.0
149.78002124,2.30235775,1.0068,-23.59,30.05,53,144,663215.0,55.0
150.4692871,2.68318777,1.0109,-23.82,30.15,30,102,912639.0,545.0
149.72839558,2.08606768,1.0158,-23.1,29.82,32,107,512647.0,431.0
150.16065006,2.69235541,1.0162,-23.37,29.97,45,130,918707.0,91.0
149.62897957,2.42009663,1.0233,-23.79,30.13,39,129,739284.0,115.0
149.48900219,2.22840248,1.0264,-21.94,30.19,42,109,611634.0,143.0
150.0248312,2.4440663,1.0286,-22.5,30.08,30,65,754934.0,771.0
