ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id
150.53173361,2.15201701,0.8257,-22.99,14.0,87.0,562397.0,66.0
150.45332143,2.06853776,0.8298,-23.53,10.0,50.0,506309.0,485.0
150.21844026,2.05774908,0.83,-23.79,10.0,64.0,498357.0,1363.0
150.52565346,2.18966984,0.83,-23.23,13.0,85.0,586803.0,160.0
149.97587764,2.35201979,0.8304,-21.79,8.0,54.0,695130.0,2720.0
150.09225507,2.20442841,0.831,-22.8,9.0,53.0,597349.0,1732.0
149.52707809999998,2.47570368,0.8317,-21.82,8.0,55.0,776412.0,1928.0
149.56444269,2.41024803,0.8325,-22.47,11.0,63.0,733995.0,2314.0
150.57599343,2.14856504,0.8333,-21.23,8.0,51.0,558544.0,2509.0
150.38357242,2.12814297,0.8362,-22.22,10.0,54.0,544902.0,2041.0
149.50306143,2.33521521,0.8370000000000001,-23.32,9.0,51.0,685216.0,2028.0
150.53044651,2.19075977,0.8376,-21.69,9.0,67.0,586765.0,1145.0
150.37974839,2.01469713,0.8388,-22.41,9.0,86.0,472177.0,1055.0
150.52519228,2.15075233,0.8396,-22.1,10.0,64.0,560153.0,592.0
150.43769757,1.79884338,0.8397,-21.17,8.0,55.0,336371.0,1032.0
150.15746339,2.40648791,0.8399,-22.37,11.0,50.0,732179.0,1885.0
150.54509207,2.14198417,0.84,-23.49,8.0,59.0,556026.0,131.0
150.55057340000002,2.21423473,0.84,-23.19,9.0,73.0,604077.0,1101.0
149.66715531,2.37191406,0.84,-23.9,17.0,62.0,709386.0,1182.0
149.6235369,2.39917444,0.84,-23.81,12.0,58.0,727087.0,240.0
150.51368048,2.22125015,0.8401,-22.72,23.0,89.0,607853.0,1069.0
150.41722064,1.97600944,0.8424,-22.91,8.0,75.0,446194.0,2186.0
150.39207719,2.08589866,0.8434,-21.71,9.0,74.0,517350.0,598.0
149.88964932,2.29686455,0.8452,-21.54,11.0,57.0,656910.0,2278.0
150.56193180000002,2.19196986,0.8471,-22.35,18.0,58.0,587681.0,2036.0
150.21452437,2.28010007,0.8482,-22.82,15.0,70.0,647098.0,1115.0
149.61375713,2.33741798,0.8482,-21.89,8.0,57.0,685114.0,227.0
150.02694677,2.18814397,0.8491,-22.35,9.0,54.0,585020.0,1778.0
150.19729085,2.28626461,0.8513,-21.82,11.0,61.0,651083.0,220.0
149.54400485,2.40364247,0.8516,-22.58,8.0,51.0,730220.0,1095.0
150.20485523,2.23672188,0.8526,-22.14,10.0,68.0,618262.0,2608.0
150.16879738,2.3154702,0.8534,-22.78,9.0,56.0,669409.0,2504.0
150.34318936,1.88859884,0.8559,-21.61,9.0,56.0,393550.0,1781.0
149.77061105,2.68677029,0.8571,-22.84,8.0,53.0,914342.0,2715.0
150.43662228,1.96620848,0.86,-22.96,18.0,54.0,443074.0,1208.0
150.45340362,2.14294435,0.8613,-22.76,11.0,71.0,555663.0,1202.0
149.77985064,2.73180495,0.8618,-21.99,8.0,60.0,943099.0,2711.0
150.2148294,2.28668901,0.8623,-22.99,14.0,73.0,651583.0,11.0
150.24871394,2.28573772,0.8624,-22.13,8.0,67.0,650175.0,2436.0
150.09187754,2.53867178,0.8625,-22.72,11.0,50.0,817724.0,1165.0
149.47364251,2.26618958,0.8655,-22.94,9.0,50.0,638421.0,2172.0
150.55851638,2.21081764,0.8656,-21.75,8.0,56.0,601913.0,898.0
149.96873416,2.59393058,0.8675,-21.48,8.0,57.0,853948.0,2477.0
150.20377787,2.27274388,0.8687,-22.17,14.0,50.0,641913.0,1374.0
149.91141376,2.68277414,0.8692,-22.48,8.0,79.0,911827.0,1124.0
149.90622652,2.73392016,0.8699,-22.75,10.0,56.0,945157.0,2254.0
150.20394092,2.22566814,0.87,-23.09,9.0,50.0,612113.0,1775.0
150.08616821,2.53138475,0.8703,-23.97,22.0,96.0,813654.0,1073.0
149.65259746,2.24956512,0.8703,-23.32,8.0,55.0,627633.0,1849.0
150.54220983,2.48667963,0.8705,-22.61,12.0,50.0,783666.0,1324.0
150.24211401,1.79995156,0.8734,-21.74,8.0,51.0,336767.0,1927.0
150.22816467,2.22563896,0.8751,-22.42,8.0,81.0,610905.0,1035.0
149.92928346,2.40897988,0.8778,-23.52,13.0,60.0,733907.0,1103.0
149.90061944,2.64195139,0.8789,-20.75,8.0,50.0,884326.0,1123.0
150.20990585,2.57086674,0.8791,-22.25,8.0,61.0,838813.0,2011.0
149.89092942,2.669207,0.8794,-23.61,8.0,63.0,903460.0,1790.0
150.45032121,2.14266703,0.8799,-22.98,12.0,61.0,555599.0,1129.0
149.92676654,2.6475097,0.88,-23.14,16.0,89.0,888882.0,26.0
149.90555925,2.71828501,0.88,-23.45,8.0,51.0,934979.0,25.0
150.20778815,2.28158308,0.8802,-22.53,19.0,87.0,647336.0,1178.0
149.91381485,2.38189144,0.8802,-23.24,8.0,53.0,715296.0,1802.0
150.20882527,2.27038515,0.8804,-21.17,10.0,57.0,640699.0,52.0
149.90735415,2.70844904,0.8804,-22.95,13.0,75.0,928939.0,1273.0
150.44879739,1.78848043,0.8805,-22.32,11.0,51.0,330991.0,1357.0
150.06263049,2.56961754,0.8817,-23.06,9.0,60.0,839016.0,1543.0
150.03541166,2.56198641,0.8853,-22.2,8.0,53.0,832907.0,530.0
150.4379966,1.82576516,0.8858,-22.29,8.0,60.0,353945.0,948.0
149.85380787,2.74382096,0.8861,-22.54,8.0,68.0,950656.0,2519.0
150.05087837,2.29419734,0.8862,-21.87,8.0,50.0,655668.0,2125.0
150.07750695,2.39457781,0.8865,-22.75,11.0,58.0,724736.0,480.0
150.07483363,2.53570114,0.8876,-20.98,9.0,62.0,815105.0,33.0
150.0725065,2.51238363,0.888,-21.93,8.0,58.0,800278.0,1061.0
150.09257678,2.52227428,0.8894,-21.92,8.0,50.0,806063.0,2294.0
149.95344982,2.66032029,0.8898,-23.32,14.0,130.0,898126.0,85.0
149.90977189,2.70933888,0.89,-22.95,11.0,53.0,929191.0,1173.0
150.09939185,2.51620616,0.8901,-22.36,15.0,98.0,802778.0,37.0
150.4451785,1.84540541,0.8905,-22.81,20.0,62.0,366169.0,1075.0
149.79258779,2.22739091,0.8907,-22.76,11.0,53.0,612481.0,495.0
150.44971328,2.15923202,0.8925,-22.5,8.0,58.0,566378.0,151.0
149.92996698,2.63321512,0.8928,-22.76,15.0,61.0,880648.0,1068.0
149.65902957,2.22483084,0.8936,-21.83,9.0,58.0,611065.0,1840.0
149.86310952,2.54471014,0.8937,-22.85,10.0,58.0,822300.0,1765.0
150.04892777,2.54583011,0.8938,-22.36,8.0,53.0,822813.0,1833.0
150.08493834,2.53282842,0.8942,-22.66,22.0,75.0,814571.0,1132.0
150.15781324,2.32927932,0.8942,-21.99,8.0,72.0,679881.0,2679.0
150.09684738,2.58392726,0.8953,-22.0,8.0,118.0,847849.0,2497.0
149.68354616,2.27059157,0.8973,-22.54,10.0,80.0,640821.0,1190.0
150.22519526,2.14511341,0.8981,-22.19,8.0,51.0,556185.0,2107.0
