ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id,cluster_redshift
150.47129622336192,2.366108508845893,0.6662,-21.662,15.0,31.0,705120.0,76.0,0.66
150.2584234107832,1.9380769966233335,0.6696,-21.973000000000003,10.0,108.0,424509.0,77.0,0.6695
150.4585962856119,2.7485071668192593,0.6703,-18.418,11.0,58.0,951756.0,467.0,0.65875
149.93852314143604,2.5212164029710165,0.6712,-21.324,28.0,229.0,806069.0,78.0,0.6712
149.79502237846106,2.538272246528939,0.6723,-21.164,9.0,111.0,817070.0,79.0,0.6698
150.00245526981936,2.63057862293252,0.6726,-20.855999999999998,8.0,183.0,878355.0,80.0,0.6705
150.48832835872508,1.9180965257790137,0.6728,-21.947,10.0,37.0,412618.0,81.0,0.6711
150.6287903107964,2.6923996273589808,0.6732,-21.471,10.0,86.0,917603.0,82.0,0.6716500000000001
150.69388436321267,2.1264766875959653,0.6732,-21.336,8.0,47.0,545995.0,83.0,0.6732
149.5018808186796,2.193833667226754,0.6739,-21.62,8.0,81.0,589190.0,84.0,0.6721
150.11368964707052,2.2755780838109825,0.6745,-21.369,12.0,70.0,643919.0,85.0,0.67415
150.208325448244,2.04850383972759,0.6771,-20.944000000000003,8.0,53.0,493186.0,86.0,0.6742
149.88487953102967,2.2384967521518666,0.6771,-22.123,11.0,70.0,619361.0,87.0,0.6776
149.5723321946112,2.1227638831791205,0.6775,-20.982,9.0,64.0,540781.0,88.0,0.6789
150.74289087328074,2.42712288525503,0.6781,-22.085,9.0,71.0,744813.0,89.0,0.6785
150.2869952789478,2.573454716753832,0.68,-23.49,12.0,91.0,841072.0,90.0,0.6787
150.19791235539884,1.6870036017602466,0.682,-21.706,9.0,57.0,266227.0,91.0,0.6821
149.86342438080962,2.3598694896151984,0.6883,-16.371,8.0,45.0,698703.0,472.0,0.6949
150.46220475433074,2.1097437147930758,0.6883,-20.673000000000002,10.0,93.0,531911.0,92.0,0.6897
149.51949311424949,2.08061836303542,0.6887,-19.403,14.0,31.0,513342.0,471.0,0.6808
150.38792906477155,1.8544452291765623,0.6899,-21.664,8.0,104.0,371390.0,93.0,0.68995
149.73112951627326,1.9282727136305904,0.691,-22.261999999999997,10.0,102.0,419070.0,94.0,0.69095
