ra,dec,redshift,brightness,gal_id,cluster_id
150.20831799535694,2.5213734837036204,0.2267,-15.597000000000001,804326.0,0.0
150.24207914837163,2.4454887012559867,0.2226,-14.299000000000001,754689.0,0.0
150.099388118454,2.4924333488135906,0.22399999999999998,-14.835,785236.0,0.0
150.113947638237,2.3912482540727407,0.221,-18.96,721353.0,0.0
150.15662893648556,2.60428400764086,0.2172,-16.043,860205.0,0.0
150.04230154538934,2.504504565546541,0.226,-15.777999999999999,793144.0,0.0
150.0796903447046,2.542389097826795,0.23,-19.063,820650.0,0.0
150.10198597821898,2.3900501225254662,0.23,-20.184,721359.0,0.0
150.14168558590558,2.630920842294433,0.2297,-18.995,879784.0,0.0
150.17417867530025,2.5313918224706766,0.2252,-16.334,811767.0,0.0
150.18947119235494,2.5690159267981554,0.2231,-16.813,836765.0,0.0
150.2010778685964,2.471650815345081,0.22899999999999998,-18.822,773958.0,0.0
150.0291292080781,2.42999705111712,0.2152,-18.831,746512.0,0.0
150.04746663368715,2.6131559032474114,0.2257,-15.344000000000001,865179.0,0.0
150.05064570281755,2.558577819987719,0.22,-17.382,830003.0,0.0
150.1302831292569,2.3704973913210257,0.2252,-18.435,707657.0,0.0
150.15040426487982,2.487231694291009,0.2189,-13.376,781794.0,0.0
150.1669771609266,2.633552699450892,0.2211,-14.074000000000002,878724.0,0.0
150.19649791609356,2.579732296095925,0.2161,-13.894,843287.0,0.0
150.24060831915085,2.5692094965319328,0.2278,-13.628,836090.0,0.0
150.0310461496104,2.4377920847692858,0.2299,-17.825,750709.0,0.0
150.04492925501057,2.4663939170740323,0.2206,-19.293,770725.0,0.0
150.0604845006323,2.507084859172516,0.2287,-18.114,795778.0,0.0
150.06627564246594,2.5068717557326567,0.2159,-14.02,794224.0,0.0
150.09447531222898,2.396248253933399,0.2291,-16.587,723564.0,0.0
150.10002163938802,2.4634507186596606,0.2287,-17.632,769633.0,0.0
150.10603642272292,2.3729677361480523,0.2213,-14.825,707511.0,0.0
150.13000593622718,2.3646737622729916,0.2196,-20.576,705099.0,0.0
150.13165004984384,2.501992790347749,0.2231,-21.255,794603.0,0.0
150.0327830115469,2.5702015171512844,0.2263,-14.628,836776.0,0.0
