ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id,cluster_redshift
150.44858633925188,2.566223202419446,1.0974,-20.601,9.0,95.0,834993.0,15.0,1.103
149.80158315717932,2.3380511066509446,1.0979999999999999,-20.951,9.0,138.0,684905.0,17.0,1.10025
150.1927424786279,2.3334980246087844,1.0979999999999999,-20.938000000000002,10.0,115.0,681415.0,18.0,1.0979999999999999
150.14830558094704,2.4500200964607326,1.0989,-19.489,10.0,90.0,758073.0,928.0,1.0848
149.69201403763563,1.7841757415894481,1.0995,-20.914,8.0,76.0,326122.0,20.0,1.0986500000000001
150.5415411948787,1.9652649917005631,1.0995,-21.371,9.0,102.0,440687.0,19.0,1.10065
150.23372879742485,1.9078043668532696,1.1013,-21.291999999999998,10.0,99.0,404816.0,21.0,1.1036
150.13238981184722,2.503297497226901,1.1015,-20.837,9.0,87.0,792996.0,23.0,1.1015
150.30800753599797,2.468280809923833,1.1015,-20.518,9.0,61.0,770332.0,22.0,1.0998
150.14512685147213,1.6757131853408884,1.1016,-21.815,9.0,115.0,258803.0,25.0,1.1039
150.05884263788568,2.3335349192817936,1.1016,-22.103,9.0,86.0,682194.0,24.0,1.1007
150.13076991446312,2.6929019764660085,1.1023,-20.721,8.0,104.0,918400.0,26.0,1.1006
150.41470497286025,2.7654443346827606,1.1026,-20.729,12.0,104.0,963103.0,27.0,1.1034
150.6249021272213,2.4953096643487878,1.1029,-20.949,10.0,104.0,787694.0,28.0,1.10405
150.5737343044114,2.623962331168242,1.1031,-20.587,9.0,119.0,872038.0,29.0,1.1096
149.45085596029242,2.59547285907242,1.1032,-20.825,13.0,77.0,854287.0,30.0,1.1014
149.49045809771837,2.754982192071292,1.1036,-21.948,13.0,107.0,957094.0,31.0,1.1008
150.34395316635968,2.449152834240383,1.1039,-20.788,9.0,85.0,758323.0,32.0,1.1023
150.20441304085656,1.744527910587171,1.1043,-19.222,9.0,96.0,300868.0,942.0,1.0946500000000001
150.61052985999154,2.7261946957904786,1.105,-22.62,9.0,110.0,939576.0,34.0,1.1047500000000001
150.60388870068556,2.5328211031904617,1.105,-20.888,10.0,115.0,812351.0,33.0,1.1082
150.26581651945432,2.7373758655304092,1.1052,-21.83,8.0,109.0,946208.0,35.0,1.1067
150.58739633776852,2.7770560331258616,1.1052,-22.619,17.0,92.0,970833.0,36.0,1.1051
