,cluster_id,ra,dec,redshift,group,Ngal,type
31821,296138,150.02711,1.733653,0.6416,1851,2,central
31829,297152,150.216359,1.741821,0.2687,171,11,central
31834,297301,149.884046,1.750999,0.1198,6,26,central
31846,298384,150.060457,1.738683,1.1973,7097,3,central
31851,298723,149.43368,1.749067,0.3003,253,8,central
31864,299567,149.660517,1.740716,0.6146,1664,3,central
31868,299886,150.276021,1.740114,0.3757,577,2,central
31869,299911,149.616601,1.739701,0.5766,1425,4,central
31870,300012,150.389919,1.741176,0.9614,4758,5,central
31872,300077,149.658094,1.741751,0.6698,1942,6,central
31875,300221,149.779911,1.74184,0.7932,2994,2,central
31876,300314,149.785322,1.74933,0.2148,75,2,central
31878,300418,149.461501,1.756269,0.6975,2373,2,central
31884,300804,149.783582,1.743032,0.3779,578,2,central
31885,300904,150.220312,1.743208,0.9496,4689,9,central
31896,302184,150.234966,1.743966,0.9296,4457,2,central
31899,302328,150.406179,1.746488,0.9298,4523,2,central
31909,303168,149.628379,1.744557,0.541,1316,4,central
31913,303598,149.501846,1.747066,0.616,1703,3,central
31916,303962,150.00266,1.748932,0.9319,4522,2,central
31929,305001,150.191094,1.749056,1.191,7170,4,central
31933,305471,150.073686,1.748949,0.6291,1756,2,central
31941,306234,150.460859,1.75069,0.9616,4879,3,central
31943,306593,149.638984,1.750785,0.41,701,2,central
31957,307524,150.349005,1.754256,0.8433,3507,3,central
31962,308138,149.740479,1.75492,0.4388,844,6,central
31974,309026,149.814238,1.754835,0.66,2006,2,central
31981,309724,150.232593,1.758209,1.1154,6338,2,central
31982,309819,149.73437,1.754777,0.5996,1611,2,central
31986,310410,150.064305,1.75603,0.9381,4458,2,central
31997,310882,149.661308,1.758679,0.589,1496,4,central
31998,310941,149.973115,1.76009,1.1548,6555,8,central
32001,311122,150.415204,1.758141,0.8376,3508,3,central
32019,312694,150.444997,1.762025,0.5886,1516,4,central
32032,313984,150.245921,1.762239,0.5589,1353,3,central
32036,314303,149.759079,1.762254,0.4798,1000,2,central
32037,314506,150.465247,1.765363,0.9964,5365,4,central
32049,314941,149.576364,1.767944,0.5802,1468,9,central
32053,315114,149.894942,1.764955,0.53,1267,2,central
32058,315570,149.47576,1.76556,0.3999,660,3,central
32059,315594,150.086268,1.764852,0.7204,2537,2,central
32060,315674,150.129915,1.766378,0.5835,1455,3,central
32062,315920,150.139166,1.764609,0.5415,1315,3,central
32064,316341,150.137087,1.768168,1.1393,6556,2,central
32069,316941,149.535611,1.767844,1.046,5789,2,central
32074,317355,150.195924,1.766917,1.1159,6235,2,central
32078,317685,150.242142,1.770472,0.8203,3162,3,central
32079,317799,149.607806,1.76725,0.4457,876,3,central
32081,317887,149.516072,1.769811,0.5939,1517,2,central
32082,317964,150.214264,1.769651,0.4093,702,2,central
32086,318447,150.202799,1.770011,0.7387,2668,4,central
32088,318570,150.056256,1.770356,1.1119,6295,2,central
32090,318763,149.869953,1.768624,0.8678,3891,3,central
32091,318796,150.380861,1.772546,1.0694,5891,3,central
32097,319121,149.42744,1.773798,0.7901,2846,5,central
32104,319707,149.738229,1.770446,0.3798,545,8,central
32116,320825,149.930214,1.772578,0.4126,736,2,central
32117,320846,150.056042,1.772177,0.2601,170,2,central
32118,320868,150.276263,1.774201,0.8875,3935,2,central
32120,321080,150.040979,1.774983,0.6429,1853,2,central
32124,321403,149.796162,1.774485,0.8165,3163,2,central
32125,321456,149.696241,1.775433,0.939,4385,5,central
32133,321865,150.44118,1.778681,0.5144,1152,4,central
32152,323222,150.144846,1.776593,0.734,2606,3,central
32160,323473,149.52034,1.775802,0.9806,5235,2,central
32161,323525,149.776744,1.778111,0.4192,747,2,central
32166,323834,150.41228,1.777624,0.8349,3226,5,central
32167,324284,149.671929,1.780594,1.152,6750,2,central
32169,324380,149.498944,1.777713,0.5317,1214,10,central
32171,324605,150.014554,1.78167,0.5955,1568,2,central
32178,325086,150.021426,1.780351,1.1113,6193,6,central
32187,325541,150.148264,1.781102,1.0501,5765,3,central
32191,325825,150.259244,1.781212,0.3669,528,2,central
32194,325972,149.915367,1.7819,0.2699,200,4,central
32199,326440,149.910444,1.784545,0.9176,4386,2,central
32207,327300,149.538501,1.785696,0.9947,5305,2,central
32218,328104,150.27911,1.78703,1.1038,6152,2,central
32223,328454,150.13749,1.785615,0.8541,3715,2,central
32238,329553,150.21692,1.788172,0.9476,4825,3,central
32245,330097,150.406309,1.789078,1.1932,7101,2,central
32246,330193,150.442069,1.788164,0.7987,2995,3,central
32250,330554,149.597109,1.789559,0.437,790,2,central
32260,331290,150.281348,1.789998,0.9786,5236,3,central
32265,331485,149.494555,1.791539,0.5938,1497,2,central
32267,331639,149.962534,1.790417,0.9002,4166,2,central
32274,332156,150.23588,1.791352,0.8366,3433,4,central
32275,332234,149.947151,1.792002,0.6955,2321,2,central
32282,332520,149.416458,1.790632,0.994,5440,3,central
32283,332577,150.209384,1.791586,0.3683,548,2,central
32290,333325,150.153574,1.7925,1.1756,6968,3,central
32292,333493,149.739666,1.792989,0.6698,2007,7,central
32297,334359,149.500217,1.794481,0.9586,4963,3,central
32300,334594,149.715615,1.795532,0.9801,5237,2,central
32301,334625,149.952318,1.797028,0.9185,4387,2,central
32303,334667,150.338565,1.794093,0.3401,413,2,central
32306,334703,150.24202,1.793763,0.5937,1519,3,central
32312,335028,149.503246,1.794923,0.6509,1895,4,central
32327,336054,149.555899,1.797735,0.7427,2642,2,central
32329,336194,150.039306,1.797015,0.6712,2134,2,central
32338,336648,150.24056,1.797524,0.8898,3717,7,central
32343,337401,149.7104,1.800474,1.1573,6751,4,central
32346,337650,150.31844,1.799614,0.1669,26,2,central
32350,338086,149.437051,1.799484,0.5961,1518,2,central
32352,338163,150.443353,1.800142,0.2701,210,2,central
32359,338818,149.607682,1.802151,0.6547,1943,2,central
32360,338859,150.076994,1.800178,0.3836,547,6,central
32362,339276,149.800414,1.802815,0.6049,1571,6,central
32370,339617,149.64916,1.80462,0.7072,2420,2,central
32378,340161,150.009895,1.804265,0.6085,1667,2,central
32379,340213,149.701149,1.802744,0.3661,479,8,central
32384,340507,149.474844,1.803375,1.1512,6752,3,central
32385,340519,150.40743,1.803195,0.8111,2997,12,central
32389,340638,150.165978,1.80418,0.4999,1078,2,central
32390,340696,150.251909,1.806283,1.1916,7031,3,central
32398,341155,150.165717,1.806709,0.8542,3719,3,central
32399,341156,149.49966,1.805984,0.5257,1242,3,central
32405,341614,149.473981,1.804536,0.9196,4389,2,central
32406,341732,150.157689,1.807503,0.6515,1897,2,central
32420,342462,150.051707,1.807038,0.4284,789,3,central
32425,342826,150.312415,1.807311,0.3999,661,2,central
32427,342971,149.863994,1.807047,0.5202,1215,2,central
32430,343439,150.202028,1.809706,0.2247,105,2,central
32431,343525,150.392861,1.808844,1.1161,6340,2,central
32433,343672,149.799385,1.808023,0.8971,4113,2,central
32439,344176,149.463052,1.811064,1.0153,5663,2,central
32441,344443,150.025039,1.811577,1.0202,5617,3,central
32446,345018,149.725564,1.81069,0.7091,2422,2,central
32451,345610,150.405837,1.813156,0.6673,2105,2,central
32464,346516,149.663094,1.81262,0.6166,1469,14,central
32471,347295,150.42032,1.816206,0.7917,2935,2,central
32478,347779,150.168207,1.815394,0.9505,4693,4,central
32479,347793,150.343007,1.816807,0.8887,3966,3,central
32494,349424,150.07166,1.819003,0.8255,3286,3,central
32496,349480,149.989785,1.82048,1.0148,5664,2,central
32498,349651,150.160411,1.820014,0.9163,4347,2,central
32500,349810,150.457743,1.818787,0.858,3720,2,central
32501,349869,150.292798,1.820173,0.9512,4695,3,central
32505,350202,150.118704,1.824344,0.41,705,2,central
32511,350795,150.430805,1.820647,0.8881,4009,2,central
32513,350872,149.88343,1.820434,0.7625,2803,2,central
32519,351257,150.41298,1.820125,0.3901,635,2,central
32520,351262,150.353104,1.826168,0.1001,1,2,central
32535,352807,149.94279,1.822543,0.3719,549,2,central
32539,352927,150.417593,1.824027,0.4999,1102,2,central
32541,353190,149.823804,1.825268,0.5412,1079,13,central
32553,353810,150.407378,1.828478,0.3391,401,2,central
32558,354006,149.721847,1.827401,1.0818,6023,2,central
32564,354551,150.398671,1.826659,0.6887,2271,2,central
32565,354566,149.979193,1.827844,1.1987,7104,3,central
32572,355090,150.392486,1.826951,0.5118,1153,2,central
32576,355467,150.170445,1.830008,0.6709,2135,4,central
32584,356075,150.328672,1.830315,0.9304,4528,3,central
32585,356191,149.644478,1.829794,0.7386,2670,2,central
32590,356426,149.894531,1.830626,0.7811,2847,2,central
32598,357080,150.436546,1.829985,0.3679,477,5,central
32605,357661,150.004225,1.830131,0.7345,2644,3,central
32610,358113,150.253149,1.831405,0.5401,1318,2,central
32621,358670,149.514569,1.834255,1.0799,6024,2,central
32630,359293,149.940052,1.835702,0.9333,4390,4,central
32631,359447,150.231093,1.834413,0.5665,1400,3,central
32636,359641,149.940109,1.836899,0.9499,4829,2,central
32642,360292,150.068705,1.837413,1.0005,5508,2,central
32660,361500,149.486271,1.83629,0.9626,4964,5,central
32669,362398,149.586382,1.840101,0.9837,5241,2,central
32670,362489,150.448789,1.840133,0.8771,3438,26,central
32674,362914,149.606435,1.841883,1.0966,6060,2,central
32677,363052,149.634957,1.841662,0.6048,1668,2,central
32678,363128,150.200645,1.840736,0.7953,2936,2,central
32680,363235,150.325592,1.841555,0.9913,5367,2,central
32682,363546,150.19517,1.84154,0.8127,3164,2,central
32688,364194,150.19941,1.841467,0.846,3434,2,central
32690,364376,149.689052,1.842905,0.9873,5175,3,central
32692,364793,149.646076,1.843408,0.3605,478,5,central
32696,365276,149.446754,1.844791,0.7479,2746,2,central
32698,365333,149.562323,1.843755,0.5896,1498,2,central
32704,365804,150.287882,1.846178,1.1185,6396,2,central
32707,365894,149.442069,1.844706,0.7897,2937,3,central
32712,366234,149.964836,1.845177,0.5806,1470,2,central
32718,366497,150.40026,1.846025,0.5757,1457,2,central
32720,366653,150.032403,1.846137,0.6035,1572,2,central
32721,366715,149.772614,1.844527,0.8331,3435,2,central
32724,366810,150.418114,1.846799,0.5313,1243,2,central
32729,367158,149.715739,1.845774,0.6306,1790,2,central
32730,367220,150.262371,1.845118,0.26,172,2,central
32731,367263,149.820143,1.847486,0.632,1810,2,central
