,cluster_id,ra,dec,redshift,zs,mag,Ngal,R,Ltot
925,J100309.7+021831,150.79109,2.3117,1.1032,-1.0,23.42,27,14.41,51.46
926,J100222.2+022313,150.5845,2.39331,0.6154,-1.0,21.42,15,10.56,32.07
927,J100249.3+022032,150.70656,2.33547,1.1052,-1.0,23.51,32,13.18,31.45
928,J100219.7+021942,150.57564,2.33013,0.716,-1.0,21.24,14,10.26,37.22
929,J100114.3+022351,150.30675,2.41581,0.6979,-1.0,21.41,27,15.65,38.72
930,J100016.1+021748,150.05666,2.30142,0.7341,0.7309,21.07,31,23.0,88.1
931,J100022.1+022320,150.09093,2.39125,0.2202,0.2206,-9.99,15,13.14,58.2
932,J100051.8+022359,150.21745,2.40034,0.9131,0.9036,21.73,23,18.06,78.03
933,J100020.3+022143,150.08063,2.39028,0.35,0.3531,19.63,13,11.09,33.76
934,J100001.5+022705,150.0071,2.45344,0.713,0.7308,21.67,41,22.18,80.31
935,J095936.3+022349,149.89478,2.38645,0.725,-1.0,21.04,20,12.33,51.74
936,J095949.8+021942,149.95985,2.32815,1.4561,-1.0,24.41,26,12.76,60.35
937,J095956.3+021852,149.98329,2.31717,0.9372,0.9338,21.95,35,19.44,113.09
938,J100011.2+021728,150.04987,2.29359,0.9312,-1.0,21.13,37,19.21,119.44
939,J095915.8+022444,149.80574,2.39957,1.0197,-1.0,23.2,17,12.2,56.3
940,J095908.2+021925,149.76527,2.33884,0.3459,-1.0,19.76,13,8.74,26.46
941,J095905.7+021744,149.77997,2.30238,1.0267,-1.0,22.15,29,16.61,85.35
942,J095820.0+022538,149.57932,2.42107,0.9996,-1.0,22.41,19,10.12,45.23
943,J095839.2+022225,149.66711,2.37193,0.8477,-1.0,21.14,29,19.37,78.9
944,J095836.2+022009,149.64832,2.34143,0.9724,-1.0,21.83,37,25.0,145.6
945,J095749.4+022550,149.44157,2.42592,0.4817,0.4807,19.31,40,38.2,202.53
946,J095750.5+022635,149.44852,2.4339,1.607,-1.0,24.44,17,12.62,76.14
947,J095812.1+022537,149.55171,2.4372,0.8447,0.8429,21.35,34,23.21,118.57
948,J100259.5+022816,150.7388,2.47383,0.9764,-1.0,22.59,31,24.57,123.98
949,J100215.7+023634,150.5677,2.61361,0.6094,0.609,20.09,14,8.96,43.15
950,J100251.9+023235,150.7287,2.53824,0.6104,-1.0,21.38,15,12.14,35.62
951,J100214.9+023022,150.56589,2.49644,1.1484,-1.0,22.54,31,19.15,137.8
952,J100209.9+023528,150.54643,2.59661,0.8216,-1.0,21.54,20,8.67,49.97
953,J100142.6+023503,150.42291,2.58326,0.8196,-1.0,21.01,24,13.29,49.05
954,J100144.8+023245,150.43822,2.54821,1.1394,-1.0,23.17,36,19.72,71.65
955,J100138.9+023025,150.40967,2.51166,0.9,-1.0,22.25,33,25.73,93.33
956,J100205.0+022806,150.52293,2.45195,0.6275,-1.0,21.77,16,11.69,16.21
957,J100103.2+023304,150.26385,2.54155,0.709,0.7039,20.53,20,14.8,80.65
958,J100020.2+022744,150.08875,2.46069,0.72,-1.0,21.06,30,18.6,88.0
959,J100039.8+023547,150.15997,2.59547,0.8829,0.895,21.04,34,23.91,129.7
960,J100029.6+023318,150.11253,2.55609,0.5068,-1.0,20.03,15,10.86,46.3
961,J100020.6+023141,150.08614,2.53138,0.8759,-1.0,21.51,51,37.21,149.06
962,J100040.5+023024,150.17256,2.52335,0.6949,-1.0,21.17,36,25.82,78.82
963,J100014.0+023657,150.05772,2.61032,0.6919,0.6798,20.89,47,32.68,155.59
964,J095955.0+023439,149.98244,2.5812,0.713,-1.0,21.33,31,6.69,46.45
965,J095941.2+023108,149.92339,2.52502,0.718,-1.0,20.8,83,65.29,296.7
966,J095921.7+023441,149.85358,2.58551,0.9915,0.9629,22.04,24,15.27,87.57
967,J095928.5+022915,149.86302,2.49745,0.723,-1.0,21.05,40,13.42,62.7
968,J095828.5+023659,149.627,2.62128,1.1916,-1.0,23.39,18,11.25,33.28
969,J095815.1+023041,149.55598,2.52003,0.4907,-1.0,20.32,17,10.0,18.5
970,J095744.4+023404,149.45592,2.56333,0.3852,-1.0,19.65,22,20.52,67.43
971,J100254.9+024032,150.72377,2.66206,0.9352,-1.0,22.64,22,16.86,51.98
972,J100227.4+024643,150.61188,2.7818,0.6034,-1.0,21.0,14,9.86,32.82
973,J100254.3+024624,150.71985,2.77865,0.8145,-1.0,21.82,21,8.88,27.81
974,J100217.7+023844,150.55862,2.65461,0.7975,-1.0,21.42,22,14.0,73.05
975,J100253.0+023804,150.72855,2.62486,0.6275,-1.0,20.81,14,9.36,43.44
976,J100136.7+024612,150.39771,2.77003,0.8196,-1.0,21.56,40,31.45,150.42
977,J100158.2+024525,150.49065,2.74791,0.6074,-1.0,20.84,17,12.06,47.9
978,J100143.3+024345,150.43509,2.72489,1.4531,-1.0,23.45,21,10.63,50.57
979,J100209.9+024037,150.53699,2.67025,0.8739,0.881,21.71,26,18.0,80.17
980,J100137.0+023842,150.40392,2.64286,1.2832,-1.0,23.59,19,9.43,25.35
981,J100027.2+024224,150.10507,2.72453,0.718,-1.0,20.8,34,22.94,103.27
982,J100023.5+024209,150.08475,2.69477,1.1202,-1.0,23.59,34,26.25,71.57
983,J100025.0+024140,150.11353,2.70262,1.2872,-1.0,22.79,28,18.11,100.64
984,J100038.8+024130,150.14635,2.69215,0.9604,0.9431,21.5,26,17.33,80.62
985,J100028.3+024125,150.14334,2.68687,0.3459,0.345,19.27,20,18.26,74.11
986,J100017.2+023801,150.07393,2.63683,0.9453,-1.0,22.52,28,14.48,71.63
987,J095937.7+024219,149.90552,2.7183,0.8849,-1.0,21.79,31,16.29,88.55
988,J095953.9+024046,149.96306,2.66915,0.712,-1.0,21.62,26,11.17,37.19
989,J095938.0+023958,149.90958,2.66518,1.1263,-1.0,23.42,39,26.17,98.73
990,J095943.1+023807,149.92673,2.64754,0.903,-1.0,21.82,53,42.39,189.89
991,J095901.9+024721,149.75626,2.79474,0.4917,0.4936,19.56,23,18.53,48.24
992,J095820.3+024634,149.57693,2.78685,0.8709,-1.0,22.25,23,14.76,42.76
993,J095852.7+024256,149.72043,2.71031,0.8608,-1.0,22.05,23,16.19,49.37
994,J095754.8+024514,149.48055,2.7372,1.1213,-1.0,22.5,41,30.0,131.04
995,J095754.7+024311,149.47746,2.7214,0.8648,0.876,21.46,22,15.58,99.03
996,J095753.5+024036,149.46779,2.67184,0.4324,0.4282,19.47,13,12.14,46.34
997,J100305.4+024814,150.77495,2.79978,0.6587,-1.0,21.03,18,16.09,49.35
998,J100229.3+024942,150.60658,2.83544,0.2484,-1.0,23.8,18,14.75,57.38
999,J100239.5+024956,150.65237,2.82917,1.1152,-1.0,22.35,36,25.27,177.08
1000,J100240.5+024855,150.66765,2.82311,0.8337,-1.0,21.74,18,10.8,42.35
1001,J100232.8+024817,150.63503,2.79772,0.7532,0.751,21.04,25,18.93,56.83
1002,J100156.8+024953,150.49831,2.82827,1.2711,-1.0,22.41,21,12.09,63.51
1003,J100209.9+024809,150.54236,2.80044,0.7492,-1.0,20.92,13,4.52,22.08
1004,J100101.7+025333,150.25745,2.89506,0.9473,-1.0,21.84,21,16.24,75.66
1005,J100115.0+025219,150.3166,2.8777,0.716,-1.0,21.18,23,19.96,73.52
1006,J100117.4+025200,150.32204,2.85212,1.1494,-1.0,22.27,50,35.14,155.84
1007,J100115.1+024934,150.31657,2.81315,1.1494,-1.0,23.3,36,15.71,54.48
1008,J100045.5+025300,150.17593,2.87635,0.72,-1.0,20.94,24,20.17,89.33
1009,J100023.8+025150,150.10402,2.84439,0.4917,-1.0,20.97,13,9.62,23.28
1010,J100014.1+024801,150.06314,2.80648,0.6034,-1.0,20.53,10,8.24,31.61
1011,J095949.4+024951,149.95564,2.82893,1.2751,-1.0,22.61,29,15.52,84.8
1012,J095924.1+025139,149.84209,2.8773,0.3741,-1.0,19.59,17,13.65,63.12
1013,J095922.5+025154,149.84525,2.86883,0.9825,-1.0,22.75,21,16.36,70.53
1014,J095825.0+024923,149.60007,2.82119,0.3459,0.3449,18.96,19,15.47,64.18
1015,J095751.7+025336,149.46896,2.90079,0.3268,-1.0,19.31,10,8.84,33.55
1016,J095757.5+025312,149.50339,2.87926,0.8719,-1.0,21.98,34,31.04,116.05
1017,J095750.1+025222,149.45564,2.87166,0.713,-1.0,20.75,21,19.52,89.58
1018,J095830.6+022342,149.62352,2.39918,0.838,0.8464,21.48,19,7.13,86.78
1019,J095927.7+020355,149.86638,2.06277,1.148,-1.0,22.61,17,8.85,41.35
