ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
150.31452487,2.47292903,0.8809,-23.19,29.89,37,76.0,775012.0,226.0
149.91578217,2.66231579,0.8875,-23.25,30.3,50,184.0,899129.0,44.0
149.72046877,2.71026574,0.8895,-22.92,30.2,40,87.0,930673.0,105.0
150.73508483,2.59183895,0.8919,-23.07,29.83,19,59.0,853492.0,623.0
150.72491748,2.66882017,0.8996,-22.71,30.63,36,86.0,902592.0,229.0
149.96253371,1.79041675,0.9002,-22.72,29.89,12,43.0,331639.0,917.0
150.53701831,2.67023796,0.9096,-23.47,29.98,35,94.0,903454.0,117.0
149.50357861,2.59543076,0.9162,-23.44,30.12,41,117.0,853322.0,149.0
150.15442493,2.39123733,0.92,-23.33,30.32,46,102.0,719153.0,109.0
149.78894592,2.75326506,0.9201,-23.4,29.98,28,87.0,956587.0,452.0
150.43524607,2.38286885,0.9205,-22.79,29.85,18,71.0,716317.0,547.0
150.02383067,2.20321087,0.9232,-24.04,30.23,73,179.0,597276.0,32.0
150.37580657,2.72661361,0.9269,-23.32,29.95,29,128.0,940378.0,94.0
149.57869753,2.65457107,0.9278,-23.43,30.03,19,66.0,893325.0,927.0
150.04990539,2.2935472,0.9295,-24.01,30.24,55,144.0,655660.0,61.0
150.54854244,2.49867892,0.9296,-23.9,30.16,34,83.0,792094.0,309.0
150.15173234,2.18868711,0.93,-22.81,30.25,61,138.0,586264.0,43.0
150.67798549,2.74058775,0.93,-23.82,30.12,31,85.0,949217.0,318.0
150.36194965,2.38641109,0.93,-22.35,29.73,16,51.0,718856.0,878.0
150.07133659,2.63569351,0.9308,-23.16,30.6,42,130.0,882552.0,96.0
149.51919148,2.26539166,0.9323,-23.14,29.98,41,138.0,637488.0,85.0
150.06719829,2.72183757,0.9399,-23.01,30.22,27,83.0,937554.0,398.0
150.28414233,1.87525334,0.9434,-22.6,30.16,47,147.0,385076.0,125.0
150.27777793,2.09185171,0.9461,-22.79,29.73,39,139.0,521793.0,102.0
150.08558684,1.90948382,0.9474,-22.91,30.28,16,65.0,407143.0,773.0
150.30104905,1.73124155,0.9496,-22.89,29.86,37,87.0,294653.0,233.0
150.2160962,2.73889368,0.9499,-24.26,30.31,33,101.0,945568.0,429.0
149.620505,2.61012531,0.9503,-22.9,30.17,26,75.0,864268.0,783.0
150.35790659,2.06893771,0.9513,-22.95,30.02,50,139.0,507236.0,81.0
149.94617613,1.858094,0.9521,-22.53,29.61,26,72.0,373747.0,515.0
149.84966616,1.79090647,0.9527,-22.51,29.54,23,75.0,331398.0,886.0
150.21055867,2.13524765,0.9552,-23.3,30.43,44,130.0,550139.0,100.0
149.51164814,2.74422259,0.9564,-22.8,29.83,19,49.0,951118.0,717.0
150.07775951,1.81466235,0.9578,-23.85,30.27,20,50.0,344901.0,852.0
150.47215507,2.56967139,0.9583,-23.37,29.96,43,116.0,839253.0,218.0
149.61761683,2.11578398,0.9586,-23.66,30.45,52,136.0,537719.0,46.0
149.78336056,2.03262054,0.9603,-22.69,29.68,27,102.0,483691.0,449.0
150.3687439,1.96479977,0.9612,-23.08,29.85,33,97.0,441581.0,279.0
150.40580744,2.49121374,0.9626,-23.16,30.02,52,138.0,786467.0,56.0
149.48627107,1.83628997,0.9626,-23.14,29.95,29,84.0,361500.0,534.0
149.48423118,1.69170784,0.9638,-22.41,29.57,18,60.0,268973.0,928.0
149.81699521,1.89952284,0.964,-22.82,30.11,30,81.0,401462.0,368.0
149.7244189,2.50929015,0.965,-22.65,30.24,28,72.0,799465.0,802.0
150.13699656,1.93794859,0.9659,-22.89,29.77,36,95.0,424867.0,258.0
150.68002511,2.04212352,0.968,-22.93,30.09,24,67.0,489122.0,728.0
150.66492248,2.24218063,0.9702,-23.33,30.23,40,108.0,621568.0,113.0
150.37200994,1.65844358,0.9752,-23.68,30.07,28,79.0,249847.0,138.0
150.29564681,2.0349543,0.9761,-22.96,29.79,51,142.0,484128.0,63.0
150.61459792,2.08104773,0.9788,-23.26,29.91,29,97.0,515167.0,320.0
149.47879246,2.14907847,0.9794,-23.46,30.49,27,89.0,560377.0,393.0
149.71561474,1.79553199,0.9801,-22.25,29.8,28,90.0,334594.0,537.0
150.46863419,1.9368,0.9814,-23.06,29.84,39,114.0,424484.0,4.0
149.6116201,2.53547055,0.982,-23.25,29.9,20,78.0,816973.0,359.0
149.57934994,2.42100694,0.9821,-23.26,29.9,30,96.0,741453.0,367.0
149.83234006,2.43353383,0.9832,-22.33,29.83,38,93.0,749375.0,365.0
149.6123011,2.03022071,0.9856,-23.12,29.87,22,109.0,481515.0,293.0
150.65284948,1.98023689,0.9858,-23.03,30.22,24,52.0,450673.0,915.0
149.85360769,2.5854975,0.9861,-23.57,30.04,55,139.0,848867.0,42.0
149.48986166,2.02657633,0.9875,-23.8,30.12,53,153.0,480769.0,33.0
150.11957951,2.11718222,0.9876,-23.51,30.0,51,126.0,538394.0,57.0
150.74711897,2.43715474,0.988,-23.78,30.12,29,106.0,752318.0,58.0
150.69686396,2.14504507,0.989,-23.86,30.15,28,110.0,557866.0,278.0
150.41198388,1.83116159,0.989,-23.85,30.15,51,120.0,353441.0,40.0
149.53392539,1.64516272,0.9896,-22.77,29.72,15,53.0,240589.0,916.0
150.32390027,2.28228667,0.9897,-23.8,30.14,37,125.0,649380.0,101.0
150.46364055,2.44047876,0.9907,-23.84,30.15,30,124.0,753651.0,207.0
149.59920446,2.4949516,0.9908,-23.01,29.82,31,92.0,790005.0,275.0
149.79517115,2.61688796,0.9908,-23.53,30.02,25,84.0,870357.0,385.0
149.64833739,2.34140604,0.9919,-23.9,30.17,55,158.0,690316.0,38.0
149.50709636,2.21272752,0.9948,-23.3,30.47,39,139.0,603296.0,82.0
149.74446753,1.87640648,0.9962,-23.36,29.96,21,80.0,387047.0,875.0
149.66971245,1.89649966,0.9966,-22.77,30.21,32,98.0,399065.0,380.0
149.56592254,2.07888029,0.9971,-23.52,30.13,33,110.0,513923.0,168.0
150.60875685,2.46738446,0.9972,-22.53,29.63,23,82.0,770441.0,199.0
150.23043387,1.74301379,0.9984,-23.34,29.93,62,145.0,301691.0,45.0
