ra,dec,redshift,brightness,richness,total_N,LR,gal_id,doppler_velocity,cluster_id
149.98716234,2.65393306,0.8866,-22.69,8,58,29.87,892844.0,168283.18371775228,1722
149.91578217,2.66231579,0.8875,-23.25,10,86,30.3,899129.0,168381.08638943871,479
149.90543167,2.67564014,0.8897,-21.85,9,78,29.6,906061.0,168619.98719306823,346
150.05813188,2.56300632,0.8897,-22.18,8,51,29.77,833763.0,168619.98719306823,216
150.4451785,1.84540541,0.8905,-22.81,20,61,29.72,366169.0,168706.7137748128,910
150.15753578,2.19279173,0.8914,-21.4,9,59,29.36,587344.0,168804.18798445602,2125
150.44971328,2.15923202,0.8925,-22.5,10,56,29.61,566378.0,168923.18928808576,1298
149.92996698,2.63321512,0.8928,-22.76,16,73,29.71,880648.0,168955.6186632315,908
149.95189423,2.65215829,0.8928,-22.2,9,95,29.88,892090.0,168955.6186632315,162
149.86310952,2.54471014,0.8937,-22.85,10,54,30.05,822300.0,169052.8412168332,1352
150.08493834,2.53282842,0.8942,-22.66,20,74,29.68,814571.0,169106.8112779614,904
150.07210961,2.53886381,0.8956,-21.83,15,82,29.34,818074.0,169257.76626590843,51
149.68354616,2.27059157,0.8973,-22.54,8,64,30.35,640821.0,169440.74991735877,1215
149.92814814,2.63202478,0.8974,-22.18,9,77,29.67,878944.0,169451.50278684404,10
150.07711443,2.54894154,0.8991,-23.09,15,88,29.84,826044.0,169634.1169809047,103
150.21049037,2.54837354,0.8992,-23.02,8,57,29.8,825376.0,169644.84814327673,1203
149.51913725,1.96486393,0.9,-23.16,10,58,30.18,441796.0,169730.65409544468,1225
150.42003156,2.51410005,0.9001,-22.46,8,66,29.6,801102.0,169741.37442348592,932
150.18650598,2.59915868,0.9039,-22.29,11,54,29.52,857714.0,170147.85688998553,944
150.28914872,2.21545632,0.905,-22.6,10,54,30.15,603680.0,170265.19988409002,1236
150.13444113,2.55843671,0.9063,-22.24,8,99,29.5,831326.0,170403.69151621766,639
150.21565489,2.39564389,0.9073,-22.52,21,85,29.61,724007.0,170510.0862968834,898
150.09869127,2.54065043,0.9076,-22.69,17,74,30.2,819831.0,170541.98148573868,374
150.15919755,2.60534789,0.9084,-22.66,15,59,29.67,862498.0,170626.98291984384,988
150.05583995,2.57333011,0.9092,-22.86,8,53,29.75,841676.0,170711.90819499316,1092
149.92385758,2.64304218,0.9096,-22.96,17,70,29.78,886620.0,170754.34229795093,913
150.53701831,2.67023796,0.9096,-23.47,12,51,29.98,903454.0,170754.34229795093,1168
150.19916519999998,2.32483423,0.911,-22.67,9,57,29.67,678323.0,170902.71202194062,2087
150.10200609,2.52725893,0.913,-21.96,8,51,29.4,809469.0,171114.26566075144,235
150.16789925,2.52572986,0.9133,-21.72,11,63,29.57,809229.0,171145.9578689869,595
150.49979782,2.44367141,0.914,-22.28,8,61,29.79,755383.0,171219.86497980612,1748
150.04831825,2.21777788,0.9175,-22.68,18,74,29.69,604903.0,171588.53336660296,93
150.22082616,2.18980785,0.9178,-21.57,11,59,29.64,586522.0,171620.0663966606,2109
150.20303465,2.47621728,0.918,-22.48,8,61,29.87,776468.0,171641.0825395112,1610
150.41224364,2.73737227,0.9184,-23.06,10,55,30.14,946877.0,171683.10072551644,1398
150.26111222,2.03134082,0.9195,-22.77,9,55,30.01,482409.0,171798.55387370978,817
150.26444444,1.90015336,0.9195,-22.26,8,55,29.8,400693.0,171798.55387370978,1440
150.20450185,2.05836173,0.9199,-22.69,9,82,30.09,500250.0,171840.50164294094,1557
150.28316336,2.09258971,0.9213,-23.02,11,71,29.82,522091.0,171987.17120898672,274
149.98925531,2.3391,0.9224,-22.36,9,81,29.57,686097.0,172102.25068653873,654
149.97842859999997,2.31534392,0.9232,-22.24,29,80,29.51,669509.0,172185.856048903,3
150.08742129,2.18599855,0.9234,-20.72,16,51,29.17,582767.0,172206.74571560664,1537
150.25521411,1.7145373,0.9237,-22.25,8,52,29.53,283550.0,172238.07146522653,1558
150.25000802,1.95753072,0.924,-22.23,8,56,29.52,437081.0,172269.38671799932,1892
150.28724242,2.03383364,0.9248,-22.47,11,61,29.7,483394.0,172352.8427722373,656
150.09405357,2.19899872,0.9264,-23.2,14,123,29.89,594198.0,172519.53134936022,921
150.24655713,2.0790776,0.9273,-22.74,11,83,29.82,513660.0,172613.16288759545,292
