ra,dec,redshift,brightness,richness,total_N,LR,gal_id,doppler_velocity,cluster_id
149.92968671,2.53270729,0.7403,-23.72,8,54.0,30.13,814496.0,150962.00720681512,1096.0
149.94746926,2.49174044,0.7404,-21.47,10,80.0,29.21,786291.0,150974.86486772643,153.0
149.92341695,2.52499294,0.7406,-23.66,10,59.0,30.09,807730.0,151000.57574139282,1051.0
150.11048825,2.22402641,0.7462,-20.56,8,52.0,29.06,608952.0,151718.07841737656,2556.0
149.93261074,2.50874463,0.7525,-21.39,10,69.0,29.6,796885.0,152519.75415091164,1053.0
149.97242533,2.59530428,0.7525,-20.98,8,68.0,29.17,854708.0,152519.75415091164,842.0
150.39708921,2.76853572,0.7905,-22.68,18,64.0,29.69,965121.0,157234.07431416798,38.0
150.44457915,2.75178447,0.8,-23.87,9,59.0,30.13,952997.0,158380.92120754716,2584.0
150.49931625,2.65137134,0.8003,-21.98,8,57.0,29.49,890793.0,158416.9349548787,1992.0
150.54248979,2.18504396,0.8031,-22.25,11,65.0,29.8,583665.0,158752.46877218844,319.0
150.55976543,2.6533078,0.8051,-22.59,11,60.0,29.62,892536.0,158991.47974392123,249.0
150.51040451,2.652951,0.8105,-22.92,9,51.0,30.11,893594.0,159634.09072242564,2790.0
150.66158765,2.38020938,0.8109,-23.43,9,55.0,30.12,715724.0,159681.53423289477,1790.0
150.40743015,1.80319538,0.8111,-22.83,11,66.0,29.83,340519.0,159705.2478730735,1824.0
150.40437736,2.08566935,0.8165,-21.47,9,86.0,29.41,517119.0,160343.47651077135,2036.0
149.62030412,2.41010504,0.8169,-23.62,11,72.0,30.37,735061.0,160390.596634691,263.0
150.55867024,2.65458886,0.8176,-23.38,12,75.0,29.93,894148.0,160473.00519886316,1151.0
150.45562426,2.14050952,0.818,-22.52,16,51.0,29.73,553385.0,160520.0663104691,1306.0
150.50759215,2.22727601,0.8191,-22.77,17,58.0,29.7,613347.0,160649.37386176176,1102.0
150.34611014,2.00517655,0.8194,-22.33,9,55.0,29.52,466122.0,160684.61145096965,1215.0
150.55571519999998,2.21142652,0.8212,-23.67,9,82.0,30.07,602486.0,160895.78438010893,1241.0
150.36932356,1.99948478,0.8224,-23.43,14,70.0,29.96,463397.0,161036.32610211938,1057.0
150.54464505,2.19009074,0.8246,-22.48,14,80.0,30.23,587046.0,161293.48791219672,1105.0
150.50503624,2.22506954,0.825,-23.98,28,60.0,30.19,611604.0,161340.17547726945,1054.0
149.55284532,2.42821548,0.8251,-22.5,22,62.0,30.13,745476.0,161351.84404901098,42.0
150.53173361,2.15201701,0.8257,-22.99,12,83.0,29.9,562397.0,161421.82760883434,64.0
