ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id
149.98056908,2.66650884,0.9892,-22.21,8.0,67.0,900715.0,4207.0
150.32390027,2.28228667,0.9897,-23.8,13.0,52.0,649380.0,4569.0
150.60541453,2.373685,0.9945,-22.57,8.0,63.0,709619.0,6995.0
149.51945816,1.83067324,0.9949,-21.45,9.0,64.0,355938.0,6063.0
150.29853590000002,2.03219107,0.9983,-22.85,15.0,63.0,482694.0,4441.0
150.1054399,2.60060998,1.0008,-22.2,9.0,50.0,858077.0,7122.0
149.76866548,2.01364886,1.0017,-22.29,9.0,63.0,471425.0,6249.0
149.4917715,2.2266242000000003,1.0021,-21.41,9.0,53.0,610447.0,2581.0
149.82019525,2.35363951,1.0027,-22.81,10.0,66.0,696230.0,4643.0
149.51220138,2.21932083,1.0097,-22.96,8.0,57.0,606605.0,5199.0
150.13192909,2.72522302,1.0104,-22.64,8.0,58.0,938826.0,4684.0
149.76610194,2.32149599,1.014,-21.29,9.0,69.0,673093.0,4633.0
149.78033882,2.63228077,1.0144,-23.25,9.0,54.0,875108.0,5056.0
149.89350378,2.33295788,1.0145,-22.41,9.0,60.0,682126.0,2608.0
149.75467716,2.27858871,1.0161,-22.65,11.0,69.0,646955.0,4421.0
149.63532969999997,2.20240724,1.0165,-22.83,11.0,60.0,594775.0,4631.0
149.73270313,2.23195265,1.0174,-22.95,14.0,50.0,615472.0,886.0
149.69586959,2.26710978,1.0176,-23.28,9.0,68.0,639429.0,2568.0
149.74958928,2.28356765,1.0179,-21.02,13.0,75.0,648197.0,892.0
149.75332729,2.2392074,1.0194,-23.41,9.0,73.0,620726.0,3853.0
149.68086475,2.3716287,1.0206,-23.72,9.0,54.0,709835.0,6967.0
150.64460482,2.67797101,1.05,-23.41,13.0,52.0,910452.0,5716.0
150.11952799,2.72503131,1.0502,-22.63,13.0,60.0,939057.0,5732.0
150.70313028,1.99029144,1.0523,-22.69,8.0,52.0,456382.0,6238.0
149.88914452,2.23964066,1.0847,-23.28,8.0,51.0,619819.0,6246.0
150.70164648,2.34853899,1.0959,-23.17,10.0,52.0,694181.0,687.0
150.5564556,2.53966732,1.0987,-21.73,12.0,70.0,816736.0,6496.0
149.6458945,2.19963051,1.0991,-21.83,9.0,54.0,592055.0,6243.0
149.48487287,2.2396511,1.0995,-21.67,10.0,52.0,619251.0,2091.0
150.11209755,2.43399627,1.1014,-22.58,9.0,56.0,749530.0,5967.0
149.62151592,2.6898914,1.1037,-21.37,10.0,52.0,915709.0,5372.0
149.61098415,1.85965597,1.1062,-22.99,12.0,51.0,375390.0,4330.0
150.10038214,1.68423394,1.1066,-21.53,9.0,58.0,263868.0,2855.0
150.64443109,2.37079552,1.1067,-23.2,8.0,66.0,707774.0,6583.0
150.39168179,2.19446697,1.1079,-23.26,10.0,51.0,589101.0,5073.0
150.14286219,2.13428466,1.1085,-24.73,11.0,65.0,539518.0,5067.0
150.38170381,1.93751886,1.1086,-22.63,8.0,55.0,423884.0,6242.0
150.56591995,2.50424442,1.1106,-21.92,15.0,85.0,793701.0,2860.0
149.80472477,2.19665204,1.1113,-22.9,11.0,76.0,590954.0,4344.0
150.02142609999999,1.78035136,1.1113,-23.4,10.0,56.0,325086.0,4896.0
150.46173515,2.57848898,1.1118,-21.99,8.0,52.0,843581.0,6981.0
150.4538938,2.09820198,1.1125,-23.37,10.0,50.0,525940.0,5970.0
150.21072168,2.11728879,1.1142,-22.99,9.0,52.0,537810.0,2105.0
150.68865963,1.96711421,1.1149,-21.16,8.0,54.0,441533.0,3181.0
150.09982543,2.20328144,1.1155,-22.68,8.0,57.0,594200.0,4279.0
149.85875753,2.28792215,1.1166,-21.89,10.0,71.0,651275.0,5920.0
150.28788246,1.84617788,1.1185,-22.05,10.0,66.0,365804.0,5974.0
150.70660632,2.33544504,1.1204,-22.48,10.0,63.0,683862.0,2853.0
149.89539998,2.68711893,1.1271,-22.47,10.0,71.0,913807.0,3833.0
150.27682280000002,2.27564387,1.1279,-22.68,9.0,66.0,643589.0,4348.0
150.36059518,2.69844871,1.1294,-22.61,8.0,50.0,921835.0,6715.0
150.7134711,2.26850091,1.1307,-22.08,8.0,58.0,638890.0,6744.0
149.6632303,2.02690168,1.1325,-22.06,11.0,70.0,478978.0,3938.0
149.81299202,2.27411571,1.1327,-22.02,9.0,100.0,642394.0,2923.0
150.33277832,2.75013133,1.1336,-23.13,12.0,71.0,954095.0,4324.0
150.48428549,2.36285877,1.1348,-22.7,13.0,74.0,702995.0,4052.0
150.56896535,2.48833764,1.137,-23.1,9.0,61.0,784418.0,428.0
150.3128489,1.95293366,1.1374,-21.93,9.0,55.0,433309.0,2152.0
150.14758446,2.13101214,1.1376,-23.45,11.0,55.0,548814.0,6255.0
149.61812566,1.95207384,1.1386,-22.2,8.0,50.0,432726.0,2157.0
149.64623722,2.23354661,1.1389,-22.24,10.0,50.0,615130.0,2155.0
149.64735502,2.44418236,1.1399,-23.39,8.0,54.0,755927.0,5947.0
149.73990225,2.67908624,1.1432,-22.24,11.0,51.0,908772.0,5376.0
150.35420918,2.73763914,1.1435,-21.85,9.0,54.0,946255.0,2932.0
150.38435612,1.94293712,1.1458,-22.66,10.0,77.0,427587.0,1706.0
150.6829626,2.01576623,1.1461,-22.59,11.0,50.0,472551.0,5087.0
150.35170416,2.5337776,1.149,-20.82,9.0,53.0,812943.0,5326.0
149.63994819,1.91578884,1.1516,-21.74,8.0,64.0,409950.0,7123.0
150.15827193,2.13636502,1.153,-22.84,12.0,54.0,552157.0,6979.0
149.82843633,2.72362092,1.1542,-22.53,9.0,54.0,937926.0,6716.0
150.18813807,2.48272648,1.1551,-23.49,8.0,53.0,780993.0,5936.0
150.35276322,1.97946351,1.1568,-21.94,11.0,73.0,449455.0,858.0
149.64484652,2.13555768,1.1571,-24.04,9.0,75.0,550467.0,6340.0
149.94078078,1.98434777,1.1584,-22.7,10.0,52.0,452656.0,6257.0
149.55362365,2.43383247,1.159,-22.7,10.0,64.0,748747.0,5094.0
150.35733968,2.0881503,1.1599,-23.89,14.0,70.0,519857.0,3686.0
150.52622278,2.1105392000000003,1.1599,-22.18,10.0,57.0,532406.0,5355.0
150.25043421,2.04966659,1.1602,-23.37,8.0,69.0,494056.0,5941.0
150.53879824,2.25063179,1.1616,-22.38,20.0,60.0,626985.0,3704.0
149.61811388,2.60688004,1.1624,-22.1,10.0,50.0,861509.0,5523.0
149.60342206,2.46613198,1.1638,-22.69,8.0,53.0,769982.0,7100.0
150.04847899,2.07685001,1.1644,-21.85,13.0,70.0,511030.0,862.0
150.34755287,1.92347037,1.1657,-21.59,8.0,75.0,414765.0,6976.0
150.36097761,1.95433704,1.1662,-23.58,15.0,64.0,435503.0,590.0
150.18335394,2.02662151,1.1667,-22.48,8.0,50.0,479596.0,2916.0
150.35115761,1.9613238999999998,1.1678,-22.8,17.0,75.0,438656.0,311.0
150.37291764,2.20343068,1.1682,-23.3,11.0,57.0,595994.0,5099.0
150.20720324,1.75658866,1.1694,-21.91,9.0,53.0,309092.0,5399.0
149.64674839,2.12939025,1.1707,-21.54,10.0,78.0,545404.0,5512.0
149.62371875,1.99590586,1.1728,-20.45,9.0,68.0,458894.0,6839.0
150.38433374,1.9346806,1.1733,-22.33,8.0,80.0,421842.0,6155.0
150.04815097,2.46761249,1.1735,-22.59,9.0,52.0,771412.0,5939.0
150.11709287,2.00371869,1.1741,-22.31,18.0,54.0,465260.0,4231.0
