ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id
150.15210529,2.19542396,0.928,-22.64,24,56,589986.0,3388
150.01160899,2.21197201,0.9285,-21.81,6,50,601018.0,2970
150.38045351,2.09403994,0.9285,-22.13,9,75,522090.0,2428
150.23681524,2.07796322,0.9293,-22.74,8,63,513623.0,1601
150.04990539,2.2935472000000003,0.9295,-24.01,19,58,655660.0,125
149.99124398,2.3282115,0.93,-23.08,12,69,679042.0,3076
150.29989564,1.99511599,0.93,-21.98,8,54,459248.0,5374
150.00947653,2.37596176,0.93,-22.25,12,59,711250.0,800
150.15173234,2.18868711,0.93,-22.81,15,52,586264.0,2966
150.20393345,2.10093184,0.93,-23.22,12,52,527210.0,3392
150.67798549,2.74058775,0.93,-23.82,11,51,949217.0,3709
150.15820987,2.1901173,0.93,-22.56,17,51,587138.0,13
150.00675371,2.38162113,0.9301,-22.52,8,68,714747.0,1968
150.21132892,2.14469589,0.9304,-22.18,8,62,555483.0,1906
150.00735472,2.3012373,0.9306,-22.39,9,92,660177.0,4135
150.2151736,2.22357816,0.9308,-20.86,8,64,608405.0,5285
150.06095141,2.21419419,0.9311,-22.6,15,88,603004.0,138
150.06815478,2.16548541,0.9313,-22.93,7,59,570851.0,4342
150.12986465,2.11087945,0.9319,-23.1,9,56,534324.0,4357
149.51919148,2.26539166,0.9323,-23.14,14,71,637488.0,3294
149.91666696,2.40857971,0.9327,-22.49,10,51,732424.0,5301
149.65710875,2.23248127,0.9329,-22.42,9,57,614846.0,1902
149.62734722,2.17991582,0.9354,-22.22,8,74,579510.0,2627
150.02608396,2.31886285,0.9355,-23.21,10,78,673322.0,1529
150.10557235,2.29763637,0.936,-22.46,7,55,657977.0,2930
149.98778494,2.31570279,0.9374,-23.16,21,73,671284.0,7
149.65555485,2.25601741,0.9391,-21.96,7,92,630459.0,2405
150.02363482,2.2197492000000003,0.9392,-22.03,8,51,605981.0,50
149.85995134,2.1933594,0.9395,-23.15,8,65,588407.0,3279
150.0504983,2.27022743,0.9402,-22.55,8,62,641016.0,3566
150.27549791,2.09063702,0.9404,-22.54,11,75,520773.0,515
149.87249379,2.16209936,0.9406,-22.65,12,51,567905.0,4410
149.61832158,2.30168484,0.9407,-21.75,8,57,659730.0,3383
149.95138280000003,2.35717557,0.9408,-22.08,9,55,698282.0,116
150.12101824,2.20829888,0.9412,-21.7,8,111,598068.0,2385
150.28082743,2.02317669,0.9421,-22.58,10,57,476954.0,4646
149.86710496,2.24678927,0.9422,-22.15,8,53,624549.0,4622
150.01402236,2.19894573,0.9422,-22.04,18,62,592528.0,11
150.0299898,2.20355558,0.9427,-21.71,18,59,595108.0,3
149.59870503,2.13715634,0.9427,-21.83,8,62,549956.0,2382
149.64686075,2.17187678,0.9434,-21.94,9,76,573758.0,1516
150.28414233,1.87525334,0.9434,-22.6,9,56,385076.0,2390
150.01894533,2.19035813,0.9439,-21.94,21,89,586469.0,3707
150.00698301,2.16128759,0.9443,-22.53,15,72,566981.0,101
150.02981877,2.20741551,0.9447,-22.99,14,66,598223.0,2946
150.14635029,2.69213013,0.9455,-23.31,10,51,919377.0,4407
150.41163905,1.8519238,0.9458,-21.52,11,52,369137.0,2971
149.96144554,2.34941556,0.9465,-23.19,13,65,694093.0,3131
149.5103104,2.26011034,0.9472,-23.03,10,51,634563.0,3610
149.99025259,2.33668773,0.9473,-23.15,9,52,685395.0,4111
150.70192759999995,2.4177172,0.9477,-21.4,9,55,737283.0,2576
150.12452017,2.71596829,0.9478,-21.1,8,61,932645.0,5386
149.64385408,2.38272222,0.9485,-22.28,9,50,716015.0,4390
150.33064339,2.0326938,0.9486,-21.7,7,52,482408.0,1658
149.63990382,2.34910454,0.9488,-22.12,18,53,692718.0,2992
149.51526025,2.4663577,0.9492,-22.26,9,64,769961.0,4651
149.74247273,2.18706882,0.9495,-21.57,8,64,583615.0,5011
150.11263185,2.14664148,0.9502,-22.83,9,70,558911.0,2017
149.65319187,2.37777503,0.9507,-22.19,11,61,711891.0,4637
149.50671599,2.01222334,0.9512,-22.0,9,54,470254.0,3932
149.6454877,2.17497276,0.9516,-22.37,8,70,576479.0,1632
150.31547385,2.03668648,0.9521,-21.83,8,73,485126.0,4636
150.4467149,2.07995491,0.9536,-22.24,10,61,513802.0,4652
150.42184630000003,2.0687055,0.9537,-22.48,10,55,507173.0,4627
149.61357869,2.12365779,0.9541,-23.33,9,58,543312.0,654
149.93788167,2.34473662,0.9542,-21.74,8,65,689794.0,4013
149.97314119,2.33800111,0.9552,-23.36,14,52,686241.0,584
150.21055867,2.13524765,0.9552,-23.3,8,66,550139.0,4891
150.00436304,2.14784287,0.9558,-22.83,16,63,557625.0,42
149.85517715,2.14281594,0.9561,-22.71,8,58,556019.0,4395
