,cluster_id,ra,dec,redshift,group,Ngal,type
9848,554599,150.452187,2.14308,0.905,3121,61,satellite
9850,554651,149.790935,2.142397,0.8503,3660,2,satellite
9851,554694,149.717981,2.143493,0.696,2335,6,satellite
9852,554722,149.41436,2.142636,0.4279,802,5,satellite
9853,554726,150.248562,2.141191,0.3704,534,4,satellite
9855,554795,149.563456,2.143599,0.6042,1585,4,satellite
9859,554908,149.609659,2.147998,0.279,204,7,satellite
9860,554956,150.58812,2.144528,0.8384,3376,10,satellite
9861,555006,150.196093,2.144045,0.9188,4408,20,satellite
9863,555136,149.776136,2.140614,0.3601,379,157,satellite
9864,555139,150.201873,2.144268,0.9528,4717,4,satellite
9866,555240,150.006188,2.145874,0.9759,3455,121,satellite
9867,555261,150.39029,2.145266,0.8158,3120,12,satellite
9868,555271,149.839154,2.143551,0.9467,4650,7,satellite
9870,555289,150.604458,2.143585,0.8694,3376,10,satellite
9871,555308,150.049244,2.142893,0.6916,2246,3,satellite
9872,555310,150.541052,2.14463,0.8323,3246,35,satellite
9874,555353,149.605315,2.144982,0.9451,4561,5,satellite
9876,555367,149.922658,2.14328,0.3382,379,157,satellite
9877,555372,149.747753,2.145338,1.1503,6640,3,satellite
9878,555375,150.361675,2.145191,0.8273,3051,17,satellite
9882,555509,150.588765,2.144581,0.8671,3376,10,satellite
9884,555530,150.492508,2.14427,1.1718,6930,2,satellite
9885,555612,149.966471,2.145723,0.8188,3247,10,satellite
9886,555615,149.635019,2.144663,1.0,5462,2,satellite
9887,555617,150.702654,2.144819,0.9821,5192,3,satellite
9890,555663,150.453404,2.142944,0.8613,3121,61,satellite
9891,555671,150.01606,2.145927,1.1851,7132,2,satellite
9893,555782,150.227988,2.146504,0.9558,4904,2,satellite
9894,555923,149.660239,2.143661,1.0101,5528,2,satellite
9899,556067,149.584667,2.14653,0.28,204,7,satellite
9901,556159,150.705594,2.146353,1.0566,5860,3,satellite
9902,556163,150.652986,2.145621,0.9596,4853,8,satellite
9903,556176,150.08999,2.145164,0.931,4476,17,satellite
9904,556185,150.225195,2.145113,0.8981,4186,5,satellite
9905,556187,150.482439,2.146364,1.0504,5826,9,satellite
9908,556264,150.51864,2.14641,0.5531,1160,26,satellite
9910,556304,149.918321,2.145846,0.3885,628,2,satellite
9911,556309,150.155161,2.147251,1.1641,6206,16,satellite
9914,556368,149.850417,2.145387,0.8992,4127,3,satellite
9915,556371,150.198986,2.147841,0.6564,1909,27,satellite
9916,556378,150.535264,2.147999,0.8323,3246,35,satellite
9917,556394,149.99887,2.146752,0.9311,3455,121,satellite
9918,556434,150.592512,2.145917,0.1219,9,7,satellite
9919,556439,150.202194,2.147083,1.1889,7183,2,satellite
9920,556456,150.689099,2.147177,0.9104,4297,5,satellite
9923,556528,150.111844,2.14614,0.9238,4476,17,satellite
9924,556547,149.844269,2.142133,0.3701,379,157,satellite
9926,556588,150.131485,2.145881,1.1117,6206,16,satellite
9927,556593,150.486764,2.145185,0.8856,4019,2,satellite
9931,556660,150.225453,2.14623,0.9408,4408,20,satellite
9932,556712,150.701863,2.147939,0.9767,5192,3,satellite
9933,556728,150.672116,2.147631,0.7992,2951,4,satellite
9934,556745,150.695072,2.144328,1.1702,6639,5,satellite
9935,556748,150.591178,2.143549,0.8502,3376,10,satellite
9938,556835,150.011275,2.14757,1.0074,5457,6,satellite
9940,556922,149.957709,2.14709,0.6301,1817,2,satellite
9942,556962,149.673871,2.151857,0.9457,4718,4,satellite
9943,556995,150.204524,2.146271,0.6723,1909,27,satellite
9945,557063,150.090799,2.14465,0.9586,4357,15,satellite
9948,557161,150.454347,2.147768,0.8713,3121,61,satellite
9950,557211,150.235236,2.144977,0.3772,534,4,satellite
9952,557238,149.588316,2.146588,0.7046,2437,3,satellite
9953,557252,149.891405,2.147279,0.9471,4414,28,satellite
9954,557298,150.65136,2.147574,0.9486,4853,8,satellite
9956,557320,150.432489,2.148131,0.9069,3121,61,satellite
9957,557331,150.075829,2.148596,0.9546,4357,15,satellite
9958,557338,150.077198,2.148445,0.9603,4357,15,satellite
9962,557557,150.255206,2.148191,0.5936,1584,2,satellite
9963,557579,150.131096,2.146538,1.1049,6206,16,satellite
9965,557653,149.59139,2.147437,0.7637,2809,3,satellite
9966,557656,150.28563,2.148571,1.0165,5632,3,satellite
9967,557662,149.467637,2.148643,0.9679,5053,13,satellite
9968,557670,150.595754,2.146604,0.7275,2582,15,satellite
9970,557692,149.99836,2.148197,0.9418,3455,121,satellite
9971,557730,150.583342,2.147061,0.5302,1160,26,satellite
9975,557779,150.013264,2.147985,0.9468,3455,121,satellite
9976,557800,150.098358,2.147882,0.94,4476,17,satellite
9977,557858,150.225421,2.147647,0.665,2109,8,satellite
9981,557893,150.020021,2.150129,1.1203,6408,3,satellite
9982,557977,149.563937,2.14856,0.9668,4719,14,satellite
9983,557995,149.843422,2.147635,0.3516,379,157,satellite
9984,558003,149.571862,2.15011,1.0383,5772,3,satellite
9985,558017,150.123896,2.144706,0.22,91,5,satellite
9987,558025,149.850302,2.149374,0.9342,4650,7,satellite
9991,558164,150.1808,2.149174,0.6535,1909,27,satellite
9998,558345,150.349764,2.149504,0.8238,3051,17,satellite
10000,558432,150.512966,2.148835,0.7137,2476,2,satellite
10001,558439,150.229794,2.148611,0.8776,3800,4,satellite
10002,558494,150.189955,2.149983,0.6332,1818,5,satellite
10004,558546,150.402195,2.149081,1.171,6929,2,satellite
10008,558639,149.753597,2.149991,1.1482,6640,3,satellite
10010,558664,150.488922,2.149336,0.9255,4412,5,satellite
10011,558672,150.428815,2.150013,1.0859,6074,2,satellite
10012,558674,149.774373,2.147433,0.34,379,157,satellite
10016,558752,150.272106,2.150082,1.1143,6358,2,satellite
10018,558787,149.816687,2.149819,0.6177,1769,2,satellite
10019,558799,149.842306,2.148826,0.3544,379,157,satellite
10021,558813,150.127821,2.147831,0.7244,2441,18,satellite
10023,558890,149.962872,2.149973,1.1551,6767,3,satellite
10024,558931,149.414177,2.150302,1.0428,5798,2,satellite
10027,559046,150.531607,2.151269,0.8245,3246,35,satellite
10028,559068,149.468314,2.149546,0.98,5053,13,satellite
10030,559117,150.273828,2.148603,0.9243,4298,4,satellite
10031,559155,149.615104,2.150506,1.1831,6931,3,satellite
10034,559261,150.4865,2.150167,1.0607,5826,9,satellite
10035,559303,149.8293,2.150743,1.1646,6893,2,satellite
10036,559313,150.476557,2.150287,0.9547,4903,3,satellite
10037,559330,150.234206,2.150809,0.6428,1858,2,satellite
10040,559389,150.537317,2.150372,0.9517,4852,7,satellite
10043,559459,149.901942,2.151825,1.1518,6704,3,satellite
10046,559646,149.47232,2.149113,0.6599,1908,5,satellite
10052,559719,149.788571,2.149568,0.3531,379,157,satellite
10053,559742,149.46741,2.150506,0.9822,5053,13,satellite
10054,559806,150.017264,2.15227,1.01,5457,6,satellite
10058,559914,150.495511,2.149166,0.7818,2853,2,satellite
10060,559954,149.978026,2.150015,0.8274,3247,10,satellite
10061,559966,149.793433,2.149608,0.3533,379,157,satellite
